android.permission.PROCESS_OUTGOING_CALLS,5,
me.everything.launcher.permission.C2D_MESSAGE,1,
com.booking.permission.RECEIVER,1,
com.appsbuilder478419.permission.MAPS_RECEIVE,1,
android.permission.WRITE_OWNER_DATA,2,
com.google.android.gms.permission.ACTIVITY_RECOGNITION,2,
android.permission.ACCESS_GPS,1,
android.permission.SET_WALLPAPER_HINTS,1,
com.lge.launcher.permission.READ_SETTINGS,1,
com.google.android.gm.permission.READ_CONTENT_PROVIDER,1,
android.permission.BROADCAST_STICKY,7,
android.permission.WRITE_USER_DICTIONARY,7,
android.permission.GET_PACKAGE_SIZE,2,
android.permission.USE_SIP,1,
android.permission.UPDATE_DEVICE_STATS,1,
android.permission.NFC,1,
android.permission.WRITE_APN_SETTINGS,1,
com.htc.launcher.permission.READ_SETTINGS,1,
android.permission.REORDER_TASKS,2,
com.bluetornadosf.smartypants.permission.C2D_MESSAGE,1,
android.permission.CHANGE_WIFI_STATE,8,
com.parrot.flowerpower.android.gcm.permission.C2D_MESSAGE,1,
android.permission.VIBRATE,66,
android.permission.READ_CALL_LOG,3,
android.permission.SUBSCRIBED_FEEDS_WRITE,1,
